"k","max_depth","F1"
"10","Unlimited",0.868217054263566
"10","Unlimited",0.745762711864407
"10","Unlimited",0.827067669172932
"10","Unlimited",0.790697674418605
"10","Unlimited",0.813008130081301
"10","Unlimited",0.834645669291339
"10","Unlimited",0.790322580645161
"10","Unlimited",0.8
"10","Unlimited",0.816
"10","Unlimited",0.784
"10","Unlimited",0.838709677419355
"10","Unlimited",0.876923076923077
"10","Unlimited",0.859375
"10","Unlimited",0.832
"10","Unlimited",0.859375
"10","Unlimited",0.82442748091603
"10","Unlimited",0.756302521008403
"10","Unlimited",0.80327868852459
"10","Unlimited",0.80327868852459
"10","Unlimited",0.834645669291339
"10","Unlimited",0.83969465648855
"10","Unlimited",0.80952380952381
"10","Unlimited",0.813008130081301
"10","Unlimited",0.832
"10","Unlimited",0.8
"10","Unlimited",0.848
"10","Unlimited",0.828125
"10","Unlimited",0.829268292682927
"10","Unlimited",0.758064516129032
"10","Unlimited",0.818897637795276
"10","Unlimited",0.867647058823529
"10","Unlimited",0.793388429752066
"10","Unlimited",0.848
"10","Unlimited",0.784
"10","Unlimited",0.834645669291339
"10","Unlimited",0.786885245901639
"10","Unlimited",0.760330578512397
"10","Unlimited",0.832
"10","Unlimited",0.848484848484849
"10","Unlimited",0.893939393939394
"10","Unlimited",0.790322580645161
"10","Unlimited",0.790322580645161
"10","Unlimited",0.8
"10","Unlimited",0.816
"10","Unlimited",0.8125
"10","Unlimited",0.796747967479675
"10","Unlimited",0.838709677419355
"10","Unlimited",0.857142857142857
"10","Unlimited",0.741935483870968
"10","Unlimited",0.796610169491525
"10","Unlimited",0.863636363636364
"10","Unlimited",0.796875
"10","Unlimited",0.861538461538462
"10","Unlimited",0.809917355371901
"10","Unlimited",0.875
"10","Unlimited",0.868217054263566
"10","Unlimited",0.774193548387097
"10","Unlimited",0.83969465648855
"10","Unlimited",0.776859504132231
"10","Unlimited",0.80952380952381
"10","Unlimited",0.82258064516129
"10","Unlimited",0.845528455284553
"10","Unlimited",0.806451612903226
"10","Unlimited",0.830769230769231
"10","Unlimited",0.806451612903226
"10","Unlimited",0.790322580645161
"10","Unlimited",0.825396825396825
"10","Unlimited",0.821705426356589
"10","Unlimited",0.766666666666667
"10","Unlimited",0.837209302325581
"10","Unlimited",0.841269841269841
"10","Unlimited",0.813559322033898
"10","Unlimited",0.768
"10","Unlimited",0.826446280991735
"10","Unlimited",0.825396825396825
"10","Unlimited",0.793388429752066
"10","Unlimited",0.852713178294574
"10","Unlimited",0.825396825396825
"10","Unlimited",0.863636363636364
"10","Unlimited",0.758064516129032
"10","Unlimited",0.793650793650794
"10","Unlimited",0.846153846153846
"10","Unlimited",0.764227642276423
